"","prediction","d.CMS1","d.CMS2","d.CMS3","d.CMS4","p.value","FDR"
"0d1e7193-6623-4c34-b3fe-5a7f0a6a9913","CMS4",0.798634733234167,0.649893155493297,0.784774125640717,0.47054959081571,0.001,0.00274761904761905
"0d42dff4-8815-4b8d-b11c-705dfdb0a5b8",NA,0.684894134278486,0.699796488139907,0.806631092717712,0.806475332902099,0.632367632367632,0.700338049666265
"0d6ba88c-ba7a-4e82-96b0-67e2b084b088","CMS4",0.708345525256207,0.636877871485754,0.798223669077962,0.533235138656307,0.001,0.00274761904761905
"0da581b5-c86b-4b79-95b8-6633e7246e3f",NA,0.759620235351129,0.727655003825833,0.772917356472739,0.680075375427799,0.515484515484515,0.585501113060168
"0e065804-8df9-4294-8a02-0b288cc68b81",NA,0.744856574392151,0.640498518427093,0.682985159063796,0.838991786674263,0.181818181818182,0.226097178683386
"0e6df121-536a-4bb2-8197-4e8891c24181","CMS2",0.821224401066208,0.578048856070975,0.78136109072599,0.748070427439022,0.001998001998002,0.0049478418577131
"0e715b20-ad08-47bb-b69e-c8c8c48a44ae","CMS4",0.624303904132832,0.718890104954433,0.770338515856466,0.565715960720076,0.001,0.00274761904761905
"0e93cda6-1c3e-429f-87cb-6599d1fc2574","CMS1",0.510700523875052,0.824267410477189,0.682830054473526,0.734970150401968,0.001,0.00274761904761905
"0e95c8a8-8bc3-4016-be71-acdc9411a369",NA,0.879595376140133,0.770331032605382,0.781623870042915,0.744572807983746,0.999000999000999,1
"0f2afe6c-874d-4b00-af46-3ff7bcd9caec",NA,0.824524095835456,0.753463110093844,0.774461469864785,0.863112363440143,1,1
"0f68cfdc-4abc-486b-938d-a7bea44b5c6c",NA,0.848334048393225,0.756274937605563,0.724908210668294,0.866136264600988,0.862137862137862,0.918874483450129
"1035f31d-080e-4a79-ada7-6637ed571ee3","CMS2",0.759690790876111,0.585538753193293,0.677894384432565,0.602353293473806,0.001,0.00274761904761905
"1083930a-42f7-49dc-a448-f8cafa7313e5","CMS2",0.69100276196215,0.563569425582948,0.617435174297364,0.605065437776892,0.001,0.00274761904761905
"1085f238-83b9-468c-b8de-bd969b50e28e","CMS4",0.709752871274744,0.693513908397849,0.689304593112834,0.567377653008216,0.001,0.00274761904761905
"10e6418e-177b-401a-aef6-6027e93cc578",NA,0.842544834946176,0.720622721703032,0.761700019390762,0.870992798460009,0.979020979020979,1
"11be116a-2014-4685-99fc-13badbb91841","CMS4",0.724814812002118,0.738699496968732,0.785046767442748,0.460302214660339,0.001,0.00274761904761905
"11c21f13-84a0-416f-a7ca-25fc1c2ee0f9","CMS3",0.727232067490738,0.690501456863465,0.610469493750037,0.743610776813746,0.00899100899100899,0.0171214923690171
"11fb2ab9-4116-4cea-95f9-0c0ca111cc2f","CMS2",0.639177145131151,0.585439645455608,0.768091430716109,0.5978037165253,0.00799200799200799,0.0155265609811064
"13048c52-e0c7-4289-b7a3-86e0042f3c7b",NA,0.792771360869057,0.629846166673448,0.758648052248806,0.625838338697569,0.032967032967033,0.0511343495214463
"13a72fbf-f601-4f67-aca4-796716f78293","CMS4",0.577833290870255,0.717551950786243,0.638067270036979,0.557826825065492,0.001,0.00274761904761905
"13cc094c-3724-45cc-8a98-650d0c7a695a",NA,0.723854310307106,0.645810382422109,0.784048185850259,0.665057747343115,0.236763236763237,0.288821115459593
"14eb25f3-a5ea-4589-9fdc-73da9e2ca081",NA,0.757356704074974,0.826284331728334,0.761548203435029,0.80018737798746,1,1
"1530ffe4-22f1-40b1-96d8-57f1509a0171","CMS1",0.598868546993469,0.717991382536198,0.630481704904201,0.788448371536001,0.00599400599400599,0.0127152259505201
"1630f3a7-898d-43ee-93ad-b9486024d323","CMS3",0.649431591178047,0.786760573558749,0.539193321922256,0.754121231016723,0.001,0.00274761904761905
"1661a686-4738-4d21-80ae-65b8bae655e4",NA,0.682708025117574,0.774331056025592,0.820862647271333,0.747928026842829,0.728271728271728,0.79585755153937
"1771fe4f-faa4-42cd-add0-4efc5e1f844a",NA,0.721223673081002,0.825273149576316,0.883115994762374,0.736617890649336,1,1
"17721431-150a-4fee-bfbe-b20a969f67a7","CMS2",0.816335954863853,0.560258184009917,0.702501088350165,0.803106724731891,0.001,0.00274761904761905
"17add25f-e442-4c52-b75a-a35b890ed565",NA,0.713533307100049,0.650905689855178,0.65723942715691,0.773976933240096,0.305694305694306,0.362933362933363
"17d28300-aacf-4723-b21a-87c1fea5d6d1","CMS4",0.778600259375885,0.63986563445196,0.683548646151157,0.558173122171602,0.001,0.00274761904761905
"18454d33-79e9-4bbb-a606-00c267fd9407","CMS4",0.602802731038412,0.721297568076827,0.614973049492137,0.435256821133134,0.001,0.00274761904761905
"184cc3d2-1c43-4584-9fef-059c8395779a","CMS4",0.599066039932971,0.749022055640589,0.724064303409521,0.434402059040077,0.001,0.00274761904761905
"18fe6d09-5377-4c7e-a360-ca65b575444c","CMS4",0.7574944857837,0.660447883973962,0.640743193804515,0.566323455239716,0.001,0.00274761904761905
